19 14.646 N	072 49.516 E
17 12.039 N	072 25.785 E
13 42.420 N	072 09.965 E
10 44.441 N	072 21.830 E
07 46.463 N	073 17.201 E
05 31.990 N	074 36.303 E
04 36.619 N	076 27.045 E
03 17.517 N	078 41.518 E
02 22.146 N	081 39.496 E
01 07.000 N	084 57.250 E
01 07.000 N	088 07.094 E
02 22.146 N	089 38.061 E
04 04.978 N	090 33.432 E
05 31.990 N	091 12.983 E
05 59.676 N	092 04.399 E
06 03.631 N	093 27.455 E
06 19.451 N	095 10.287 E
06 03.631 N	098 39.906 E
05 04.304 N	099 21.435 E
04 03.001 N	100 00.986 E
02 22.146 N	101 37.885 E
01 40.783 N	102 33.586 E
01 21.007 N	103 01.271 E
01 13.097 N	103 26.320 E
00 59.914 N	103 40.822 E
01 11.779 N	103 52.687 E
01 14.416 N	104 01.916 E
01 22.326 N	104 13.781 E
